Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Josh Howard,2003,29,77.25,NA,86,105.5,36.5,33,202,6,NA,NA,4,10.89,3.09
Joe Johnson,2001,10,78.75,NA,81,105,36.5,32.5,226,6.7,NA,NA,12,12.05,3.4
Malcolm Thomas,2011,NA,79.5,80.75,84.5,107.5,36.5,32,223,5.9,9.5,10.5,3,11.31,3.29
Ugonna Okyekwe,2003,NA,79.25,,87,109,36.5,32,228,4.3,NA,NA,8,11.43,3.2
Carl Landry,2007,31,79,80.5,83,102.5,36.5,31.5,248,7.5,NA,NA,21,11.35,3.29
Jerel McNeal,2009,NA,73.5,75,79.25,99.5,36.5,31.5,190.4,5.4,NA,NA,10,10.61,3.25
Tony Allen,2004,25,75.5,76.25,81,102,36.5,31.5,214,6.7,NA,NA,17,10.7,3.19
Larry O'Bannon,2005,NA,75,76.25,78,99.5,36.5,31.5,196,NA,NA,NA,17,11.44,3.18
Reggie Williams,2008,NA,75.25,76,81.25,103,36.5,31.5,199,5.3,NA,NA,15,11.32,3.07
Brian Roberts,2008,NA,72.25,73.25,73.25,95,36.5,31.5,173,3.6,NA,NA,10,10.65,3.05
DeAnthony Melton,2018,NA,74.25,75.25,80.5,99.5,36.5,31,193.2,5.2,8.5,9.5,1,11.48,3.23
Ronald Murray,2002,NA,75,,79.5,100.5,36.5,31,197,NA,NA,NA,9,11.13,3.16
Derrick White,2017,29,75.25,76.5,79.5,101.5,36.5,31,189.8,6.2,8.25,8.5,10,10.84,3.08
Will Conroy,2005,NA,73,74,75,96.5,36.5,30.5,188.6,NA,NA,NA,14,10.51,3.28
Corey Brewer,2007,7,78,79.75,80.25,103,36.5,30.5,185,4.2,NA,NA,11,11.69,3.22
Jeff Teague,2009,19,72.25,73.5,79.5,98.5,36.5,30.5,175.2,4.5,NA,NA,13,11.05,3.18
John Gilchrist,2005,NA,73.25,74.5,81.25,96.5,36.5,30.5,195.2,NA,NA,NA,12,11.48,3.15
Tedric Hill,2006,NA,79.75,81,85,107,36.5,30,236,7.3,NA,NA,1,12.23,3.24
Dwayne Bacon,2017,40,76.75,78.25,82,103.5,36.5,30,221.6,7.9,8.75,10,8,11.7,3.22
Jack McClinton,2009,51,71.75,72.75,74.5,96,36.5,30,185.2,6.2,NA,NA,13,10.44,3.21
Daniel Horton,2006,NA,72.5,74.25,79,96.5,36.5,30,198,8,NA,NA,17,10.35,3.16
Russell Westbrook,2008,4,74.25,75.5,79.75,100,36.5,30,192,4.8,NA,NA,12,10.98,3.08
Jon Leuer,2011,40,82,83.5,84,105.5,36.5,29.5,223.2,5.4,8.75,9.75,14,10.82,3.36
Lynn Greer,2002,NA,72.25,,73,94.5,36.5,29.5,170,NA,NA,NA,12,11.24,3.16
